Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,Оболонський,10.0
82000.0,2.0,1281.0,18.0,26.0,2009.0,64.0,37.0,14.0,Дніпровська,Оболонський,13.0
135000.0,2.0,2077.0,16.0,23.0,2012.0,65.0,25.0,18.0,Дніпровська,Оболонський,22.0
84000.0,2.0,1273.0,6.0,26.0,2009.0,66.0,37.0,18.0,Дніпровська,Оболонський,11.0
60000.0,1.0,1463.0,2.0,26.0,2009.0,41.0,37.0,14.0,Дніпровська,Оболонський,0.0
900000.0,4.0,3600.0,23.0,24.0,2012.0,250.0,37.0,14.0,Дніпровська,Оболонський,199.0
85000.0,2.0,1328.0,4.0,24.0,2009.0,64.0,30.0,20.0,Дніпровська,Оболонський,14.0
117000.0,3.0,1401.0,14.0,26.0,2009.0,69.0,37.0,14.0,Дніпровська,Оболонський,18.0
135000.0,1.0,1552.0,15.0,22.0,2012.0,87.0,15.0,40.0,Дніпровська,Оболонський,32.0
100000.0,2.0,1408.0,15.0,23.0,2007.0,71.0,30.0,12.0,Дніпровська,Оболонський,29.0
85000.0,1.0,1545.0,6.0,25.0,2007.0,55.0,24.0,13.0,Дніпровська,Оболонський,18.0
210000.0,2.0,2442.0,9.0,23.0,2012.0,86.0,42.0,21.0,Дніпровська,Оболонський,23.0
68500.0,1.0,1593.0,11.0,27.0,2009.0,43.0,14.0,16.0,Дніпровська,Оболонський,13.0
100500.0,2.0,1378.0,16.0,26.0,2009.0,69.0,37.0,14.0,Дніпровська,Оболонський,18.0
230000.0,3.0,2035.0,12.0,24.0,2007.0,113.0,53.0,15.0,Дніпровська,Оболонський,45.0
115000.0,2.0,1420.0,23.0,25.0,2007.0,81.0,41.0,16.0,Дніпровська,Оболонський,24.0
80000.0,1.0,1333.0,4.0,24.0,2012.0,60.0,37.0,14.0,Дніпровська,Оболонський,9.0
62000.0,1.0,1512.0,2.0,25.0,2009.0,41.0,14.0,14.0,Дніпровська,Оболонський,13.0
250000.0,2.0,2874.0,11.0,23.0,2012.0,87.0,56.0,31.0,Дніпровська,Оболонський,0.0
108000.0,3.0,1200.0,3.0,24.0,2009.0,90.0,54.0,10.0,Дніпровська,Оболонський,26.0
168535.7,3.0,1872.6,4.0,9.0,1966.0,90.0,45.0,10.0,Саксаганського,"Голосіївський, Печерський, Шевченківський",35.0
150000.0,3.0,2239.0,3.0,5.0,1917.0,67.0,42.0,14.0,Саксаганського,"Голосіївський, Печерський, Шевченківський",11.0
145000.0,2.0,1933.0,4.0,4.0,1899.0,75.0,42.0,10.0,Саксаганського,"Голосіївський, Печерський, Шевченківський",23.0
335000.0,1.0,4926.0,22.0,32.0,2016.0,68.0,16.0,35.0,Саксаганського,"Голосіївський, Печерський, Шевченківський",17.0
15700000.0,3.0,157000.0,2.0,4.0,1917.0,100.0,76.0,12.0,Саксаганського,"Голосіївський, Печерський, Шевченківський",12.0
210000.0,2.0,1736.0,14.0,24.0,2008.0,121.0,60.0,30.0,Саксаганського,"Голосіївський, Печерський, Шевченківський",31.0
120000.0,1.0,2500.0,8.0,25.0,2012.0,48.0,18.0,16.0,Ділова,"Голосіївський, Печерський",14.0
175000.0,1.0,1725.8,7.0,25.0,2012.0,69.0,37.0,14.0,Ділова,"Голосіївський, Печерський",18.0
98000.0,2.0,1633.0,21.0,34.0,2014.0,60.0,41.0,27.0,Ревуцького,Дарницький,0.0
52500.0,2.0,721.0,7.0,25.0,2021.0,69.0,30.0,18.0,Ревуцького,Дарницький,21.0
88000.0,2.0,989.0,4.0,25.0,2014.0,89.0,60.0,15.0,Ревуцького,Дарницький,14.0
98700.0,2.0,1484.0,15.0,25.0,2019.0,69.0,37.0,19.0,Ревуцького,Дарницький,13.0
55000.0,1.0,1310.0,6.0,25.0,2019.0,42.0,13.0,9.0,Ревуцького,Дарницький,20.0
57000.0,2.0,1056.0,7.0,26.0,2009.0,54.0,28.0,9.0,Ревуцького,Дарницький,17.0
65000.0,1.0,2600.0,1.0,3.0,2009.0,25.0,20.0,3.0,Введенська,Подільський,2.0
125000.0,2.0,2778.0,6.0,9.0,1965.0,45.0,37.0,14.0,Виноградний,Печерський,0.0
48000.0,1.0,849.0,22.0,25.0,2009.0,69.0,40.0,10.0,Кайсарова,"Голосіївський,Солом'янський",19.0
37000.0,1.0,925.0,11.0,25.0,2009.0,40.0,37.0,10.0,Кайсарова,"Голосіївський,Солом'янський",0.0
63000.0,3.0,900.0,7.0,10.0,1987.0,70.0,44.0,14.0,Бориспільська,Дарницький,12.0
41500.0,1.0,1092.0,4.0,25.0,2009.0,38.0,17.0,10.0,Бориспільська,Дарницький,11.0
48000.0,2.0,923.0,7.0,16.0,2009.0,52.0,37.0,14.0,Бориспільська,Дарницький,1.0
390000.0,3.0,3000.0,11.0,28.0,2013.0,130.0,48.0,66.0,Болсуновська,Печерський,16.0
275000.0,2.0,4435.0,22.0,28.0,2013.0,62.0,30.0,20.0,Болсуновська,Печерський,12.0
118000.0,2.0,1311.0,15.0,25.0,1959.0,90.0,41.0,13.0,Науки,Голосіївський,36.0
55500.0,2.0,911.0,18.0,20.0,1971.0,69.0,28.0,14.0,Науки,Голосіївський,27.0
159990.0,4.0,1437.0,6.0,10.0,2016.0,69.0,37.0,30.0,Метрологічна,Голосіївський,2.0
68900.0,1.0,1531.0,8.0,9.0,2016.0,45.0,25.0,11.0,Метрологічна,Голосіївський,9.0
100000.0,2.0,1099.0,8.0,9.0,1970.0,91.0,37.0,14.0,Метрологічна,Голосіївський,40.0
45900.0,2.0,1020.0,1.0,5.0,1965.0,45.0,30.0,4.0,Метрологічна,Голосіївський,11.0
85000.0,3.0,1417.0,2.0,5.0,1961.0,60.0,44.0,6.0,Дружби Народів,Печерський,10.0
95000.0,2.0,1696.0,9.0,9.0,1966.0,56.0,34.0,8.0,Дружби Народів,Печерський,14.0
99800.0,3.0,1535.0,6.0,8.0,1962.0,65.0,37.0,14.0,Дружби Народів,Печерський,14.0
35000.0,2.0,778.0,1.0,2.0,2009.0,45.0,37.0,14.0,Кримська,Голосіївський,0.0
63000.0,2.0,969.0,4.0,25.0,2009.0,65.0,31.0,13.0,Новопольова,Солом'янський,21.0
70000.0,2.0,1006.0,23.0,25.0,2009.0,69.0,37.0,14.0,Новопольова,Солом'янський,18.0
57000.0,2.0,919.0,2.0,25.0,2009.0,62.0,45.0,14.0,Новопольова,Солом'янський,3.0
130000.0,2.0,1625.0,6.0,25.0,2010.0,80.0,37.0,14.0,Перемоги,Шевченківський,29.0
135000.0,2.0,2523.0,28.0,34.0,2018.0,69.0,37.0,14.0,Перемоги,Шевченківський,18.0
90900.0,1.0,1748.0,14.0,36.0,2009.0,52.0,37.0,14.0,Перемоги,Шевченківський,1.0
91260.0,1.0,1738.0,29.0,36.0,2009.0,69.0,17.0,14.0,Перемоги,Шевченківський,38.0
86000.0,1.0,1654.0,8.0,36.0,2009.0,52.0,19.0,14.0,Перемоги,Шевченківський,19.0
95000.0,3.0,1118.0,2.0,15.0,2019.0,85.0,47.0,13.0,Перемоги,Шевченківський,25.0
302200.0,4.0,2001.0,5.0,22.0,2013.0,151.0,37.0,14.0,Перемоги,Шевченківський,100.0
113261.0,2.0,1421.0,9.0,36.0,1961.0,69.0,37.0,14.0,Перемоги,Шевченківський,18.0
80000.0,2.0,1250.0,11.0,16.0,2009.0,64.0,35.0,16.0,Перемоги,Шевченківський,13.0
101000.0,1.0,1772.0,33.0,36.0,2009.0,57.0,37.0,14.0,Перемоги,Шевченківський,6.0
91000.0,1.0,1750.0,33.0,35.0,2009.0,52.0,20.0,22.0,Перемоги,Шевченківський,10.0
89000.0,1.0,2342.0,7.0,15.0,2009.0,38.0,20.0,7.0,Перемоги,Шевченківський,11.0
46998.0,2.0,1000.0,5.0,5.0,1968.0,47.0,35.0,8.0,Братиславська,"Деснянський, Дніпровський",4.0
298000.0,3.0,2249.0,11.0,23.0,2016.0,69.0,37.0,14.0,Трускавецька,Дарницький,18.0
250000.0,3.0,2809.0,3.0,23.0,2019.0,89.0,37.0,14.0,Трускавецька,Дарницький,38.0
100000.0,1.0,2000.0,3.0,23.0,2016.0,50.0,28.0,20.0,Трускавецька,Дарницький,2.0
43100.0,1.0,1390.0,8.0,26.0,2018.0,31.0,16.0,5.0,Каховська,Дніпровський,10.0
118000.0,3.0,1494.0,17.0,25.0,2018.0,79.0,36.0,35.0,Каховська,Дніпровський,8.0
41000.0,1.0,1323.0,21.0,26.0,2018.0,31.0,12.0,8.0,Каховська,Дніпровський,11.0
54100.0,1.0,1339.0,4.0,26.0,2018.0,69.0,37.0,14.0,Каховська,Дніпровський,18.0
70500.0,2.0,1203.0,20.0,26.0,2020.0,69.0,28.0,14.0,Каховська,Дніпровський,27.0
160000.0,3.0,2000.0,21.0,25.0,2018.0,80.0,37.0,14.0,Каховська,Дніпровський,29.0
81000.0,3.0,1012.0,17.0,25.0,2018.0,80.0,60.0,14.0,Каховська,Дніпровський,6.0
110000.0,1.0,1930.0,19.0,25.0,2008.0,57.0,37.0,14.0,Голосіївська,Голосіївський,6.0
152000.0,2.0,1667.0,24.0,25.0,2008.0,69.0,41.0,14.0,Голосіївська,Голосіївський,14.0
